algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
3,13,50,30,0,3.14159,-16.2582, 0.560553, 2.67341, -16.2908, 4074.42, -17.7577, -15.0842, 
11,6,50,30,-30,30,-33.1752, 1.74742, 8.4982, -33.1732, 1945.08, -37.9537, -29.4555, 
2,9,50,30,-32,32,39.6023, 4.88799, 22.2102, 39.6071, 4660.25, 26.8481, 49.0583, 
14,17,50,30,-100,100,67.753, 16.406, 78.4166, 66.7874, 1235.5, 32.2942, 110.711, 
10,5,50,30,-500,500,1.04917, 0.0113052, 0.049044, 1.04538, 3107.41, 1.02949, 1.07854, 
1,13,50,30,0,3.14159,-17.8996, 0.897155, 3.88407, -17.8574, 4009.57, -19.8663, -15.9822, 
9,14,50,30,-30,30,-2.78882, 0.425425, 1.79266, -2.73839, 2892.49, -3.73197, -1.93932, 
0,10,50,30,-500,500,-18289.5, 1065.43, 6160.87, -18252.3, 3629.53, -21763.4, -15602.6, 
11,5,50,30,-500,500,1.28256, 8.87351, 63.3969, 0.0114661, 2136.85, 0.000142394, 63.397, 
4,7,50,30,-30,30,43.0311, 1.49093, 5.44548, 43.0354, 4352.52, 40.0083, 45.4538, 
12,5,50,30,-500,500,10.0157, 6.43563, 25.337, 8.3084, 2934.73, 1.87282, 27.2098, 
10,6,50,30,-30,30,-33.1054, 0.463297, 1.95433, -33.0435, 2518.1, -34.2848, -32.3305, 
15,14,50,30,-30,30,-24.3839, 5.26788, 16.956, -27.8701, 6999.43, -29, -12.044, 
1,17,50,30,-100,100,17.8255, 3.66121, 21.3485, 17.1805, 1044.91, 12.7159, 34.0644, 
13,13,50,30,0,3.14159,-7.16917, 0.661285, 2.87667, -7.17465, 4394.19, -8.93738, -6.06071, 
2,6,50,30,-30,30,-35.4115, 0.411094, 1.75105, -35.4234, 2155.49, -36.217, -34.466, 
10,9,50,30,-32,32,15.0521, 2.12946, 8.3967, 15.4608, 4906.1, 11.1665, 19.5632, 
7,12,50,30,-100,100,8.30902, 0.655769, 2.84966, 8.31543, 2942.74, 7.00573, 9.85539, 
5,14,50,30,-30,30,-7.51002, 0.544067, 2.31007, -7.49871, 2572.43, -8.67923, -6.36916, 
4,11,50,30,-500,500,-8221.19, 803.864, 3600.05, -8054.26, 4562.22, -10599, -6998.94, 
5,3,50,30,-100,100,838744, 464531, 3.25417e+06, 809726, 1078.39, 160200, 3.41437e+06, 
11,13,50,30,0,3.14159,-20.5293, 2.37055, 10.5172, -20.3595, 2823.57, -25.914, -15.3968, 
2,3,50,30,-100,100,587827, 244150, 1.02041e+06, 577216, 998.366, 193550, 1.21396e+06, 
15,9,50,30,-32,32,2.56123, 4.43447, 26.5575, 0.632856, 7918.47, -1.28786e-14, 26.5575, 
13,15,50,30,-100,100,274670, 228659, 1.18165e+06, 179170, 1445.85, 27804.2, 1.20945e+06, 
4,9,50,30,-32,32,58.112, 35.8137, 144.528, 51.9367, 4493.6, 11.6646, 156.192, 
10,15,50,30,-100,100,3715.32, 1960.35, 10185.6, 3370.31, 1419.34, 1470.04, 11655.6, 
3,10,50,30,-500,500,-9134.64, 502.491, 1933.2, -9077.2, 3750.19, -10320.3, -8387.13, 
3,1,50,30,-512,512,6421.59, 300.963, 1244.25, 6427.38, 1847.51, 5696.81, 6941.06, 
7,1,50,30,-512,512,6891.47, 427.318, 2243.18, 6922.8, 2026.1, 5294.12, 7537.3, 
10,11,50,30,-500,500,-5045.66, 348.447, 1575.59, -4996.84, 5001.29, -6130.12, -4554.52, 
15,4,50,30,-30,30,5.61202, 12.9563, 60.127, 0.00621033, 6693.5, 0, 60.127, 
10,17,50,30,-100,100,24.3233, 2.69358, 12.6979, 24.4447, 1355.82, 19.5702, 32.268, 
5,6,50,30,-30,30,-35.3927, 0.44134, 1.99033, -35.2682, 2233.48, -36.6555, -34.6652, 
3,2,50,30,-100,100,2.55495, 0.998317, 4.27628, 2.32205, 929.018, 1.0461, 5.32238, 
15,12,50,30,-100,100,1.03033e-08, 3.12672e-08, 1.98711e-07, 1.5758e-10, 7063.58, 0, 1.98711e-07, 
15,10,50,30,-500,500,-14414.9, 5595.07, 16122, -12056.1, 7570.6, -21364.7, -5242.67, 
2,17,50,30,-100,100,110.85, 19.4153, 85.7156, 112.765, 1054.84, 56.3624, 142.078, 
9,7,50,30,-30,30,54.3588, 2.89436, 12.4969, 53.9526, 4779.41, 49.4485, 61.9454, 
13,9,50,30,-32,32,402.363, 26.3402, 114.297, 399.424, 5152, 347.437, 461.734, 
12,16,50,30,-10,10,18.4515, 9.89192, 42.8132, 17.1746, 3618.72, 3.01109, 45.8243, 
4,10,50,30,-500,500,-13381.2, 1482.76, 6167.08, -13318.4, 3831.99, -17129, -10961.9, 
10,7,50,30,-30,30,50.5288, 2.50089, 11.8559, 50.4275, 4544.37, 44.7363, 56.5923, 
