algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
4,9,50,30,-32,32,48.0216, 37.1978, 161.939, 44.654, 9591.82, 0.60396, 162.543, 
10,15,50,30,-100,100,3968.28, 1618.39, 6640.08, 3848.1, 3454.05, 1082.93, 7723, 
3,10,50,30,-500,500,-9442.94, 614.112, 2733.12, -9392.08, 8414.55, -10968.2, -8235.05, 
3,1,50,30,-512,512,6450.03, 307.991, 1227.97, 6506.8, 4531.99, 5838.13, 7066.1, 
7,1,50,30,-512,512,6956.78, 352.556, 1406.37, 7060.26, 4609.53, 6055.99, 7462.36, 
10,11,50,30,-500,500,-5010.06, 395.284, 1856.95, -4943.76, 12330.2, -6357.21, -4500.26, 
10,17,50,30,-100,100,24.0233, 2.45971, 12.7569, 23.8347, 3474.66, 19.6642, 32.4211, 
5,6,50,30,-30,30,-35.5437, 0.583268, 2.41274, -35.5144, 5576.85, -37.0853, -34.6726, 
3,2,50,30,-100,100,2.55883, 0.850275, 4.42593, 2.41446, 2422.22, 0.982787, 5.40871, 
2,17,50,30,-100,100,110.924, 17.1561, 72.5894, 110.002, 2861.47, 78.9436, 151.533, 
9,7,50,30,-30,30,55.0576, 2.928, 12.2124, 54.9542, 10147, 48.6208, 60.8332, 
4,10,50,30,-500,500,-12961.1, 1476.18, 8763.99, -12778.3, 8536.9, -19559.3, -10795.3, 
10,7,50,30,-30,30,50.5698, 1.82061, 7.53786, 50.8007, 10158.5, 46.9622, 54.5, 
6,2,50,30,-100,100,0.00376744, 0.00223015, 0.00912397, 0.00309076, 2271.39, 0.0010556, 0.0101796, 
10,12,50,30,-100,100,11.1801, 0.503943, 2.26285, 11.2557, 7116.8, 9.7945, 12.0573, 
0,17,50,30,-100,100,119.041, 26.7579, 139.703, 118.028, 3700.36, 67.9676, 207.67, 
4,15,50,30,-100,100,404.769, 836.221, 5264.61, 64.0451, 2996.11, 0.214258, 5264.82, 
9,6,50,30,-30,30,-31.7695, 0.880391, 4.5853, -31.8476, 5906.8, -34.4249, -29.8396, 
8,3,50,30,-100,100,535.26, 1432.34, 8315.8, 100.597, 3065.58, 28.8084, 8344.61, 
1,4,50,30,-30,30,-50324.6, 4242.56, 19151.3, -50587.9, 4865.07, -58243.5, -39092.2, 
10,1,50,30,-512,512,6103.86, 425.541, 1789.34, 6142.93, 5068.48, 4961.65, 6750.99, 
8,11,50,30,-500,500,-5488.98, 1059.46, 5734.23, -5135.75, 12224, -9839.97, -4105.74, 
8,2,50,30,-100,100,0.00173751, 0.00111155, 0.00487366, 0.00120712, 2660.31, 0.000499432, 0.00537309, 
6,4,50,30,-30,30,-38197.4, 5030.41, 27927.7, -37939.4, 4861.21, -52877.3, -24949.7, 
10,10,50,30,-500,500,-8792.38, 638.135, 2674.74, -8748.21, 9171.56, -10013.6, -7338.83, 
3,14,50,30,-30,30,-5.15763, 0.517152, 2.97426, -5.09959, 6595.28, -7.17495, -4.20069, 
6,13,50,30,0,3.14159,-13.3755, 0.853992, 4.40653, -13.2622, 8997.36, -16.0182, -11.6116, 
8,12,50,30,-100,100,8.27811, 2.3988, 7.95493, 7.79169, 6773.75, 4.22567, 12.1806, 
8,17,50,30,-100,100,7.67943, 0.0568746, 0.336946, 7.65875, 3234.47, 7.61328, 7.95022, 
0,8,50,30,-32,32,-67.2961, 3.11396, 14.0617, -68.0446, 7710.73, -73.2969, -59.2352, 
1,3,50,30,-100,100,11677.3, 12987.6, 75865.6, 8675.3, 2558.7, 1313.75, 77179.3, 
1,9,50,30,-32,32,20.7971, 7.71421, 46.1894, 18.9762, 9706.94, 10.8122, 57.0016, 
8,16,50,30,-10,10,0.103286, 0.138827, 0.543943, 0.0896017, 9918.31, 2.3507e-05, 0.543967, 
2,10,50,30,-500,500,-12764.4, 618.859, 3420.81, -12586.9, 8377.48, -15078.2, -11657.4, 
3,16,50,30,-10,10,0.27515, 0.157366, 0.884882, 0.246213, 10016.8, 0.0730785, 0.957961, 
3,18,50,30,-100,100,52.9634, 8.8692, 38.8474, 51.0973, 3965.44, 36.9778, 75.8252, 
3,17,50,30,-100,100,16.3934, 1.84263, 6.96483, 16.1668, 2951.63, 12.8986, 19.8635, 
10,4,50,30,-30,30,-40756.9, 4163.28, 20600.5, -40261.9, 5650.38, -52499.4, -31898.9, 
