algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
4,9,50,30,-32,32,57.0059, 33.1809, 127.684, 58.3052, 4718.37, 6.24638, 133.93, 
10,15,50,30,-100,100,3825.14, 1627.09, 6832.52, 3518.84, 1465.15, 1554.95, 8387.47, 
3,10,50,30,-500,500,-9469.86, 647.241, 2823.66, -9353.08, 3977.4, -10953.3, -8129.61, 
3,1,50,30,-512,512,6393.85, 341.369, 1520.45, 6432.17, 1940.38, 5447.42, 6967.87, 
7,1,50,30,-512,512,6833.98, 360.55, 1470.36, 6847.77, 2178.32, 5919.7, 7390.06, 
10,11,50,30,-500,500,-5037.86, 360.314, 1669.53, -4972.59, 5396.71, -6054.45, -4384.93, 
10,17,50,30,-100,100,24.9606, 2.39732, 11.266, 25.0623, 1478.87, 19.4011, 30.6671, 
5,6,50,30,-30,30,-35.4568, 0.42189, 2.20852, -35.3955, 2372.52, -36.6015, -34.3929, 
3,2,50,30,-100,100,2.40629, 0.862435, 4.2679, 2.2402, 994.983, 1.05134, 5.31923, 
2,17,50,30,-100,100,112.57, 20.3242, 86.2485, 110.635, 1130.61, 68.8434, 155.092, 
9,7,50,30,-30,30,54.797, 3.08328, 14.8733, 54.7766, 4783.61, 47.1945, 62.0678, 
4,10,50,30,-500,500,-13220.5, 1520.26, 6980.19, -12851, 4010.01, -17552.4, -10572.2, 
10,7,50,30,-30,30,51.045, 1.9741, 10.1102, 51.2045, 4881.67, 44.699, 54.8093, 
6,2,50,30,-100,100,0.00394502, 0.00374116, 0.0185392, 0.0025935, 1132.28, 0.000566805, 0.019106, 
10,12,50,30,-100,100,11.2012, 0.501842, 2.2252, 11.2341, 3295.3, 9.79343, 12.0186, 
0,17,50,30,-100,100,127.735, 29.7523, 135.923, 123.041, 1498.12, 65.8728, 201.796, 
4,15,50,30,-100,100,253.454, 504.449, 2479.51, 48.1814, 1203.7, 0.010124, 2479.52, 
9,6,50,30,-30,30,-31.581, 1.03271, 4.75812, -31.5902, 2631.4, -34.279, -29.5208, 
8,3,50,30,-100,100,562.328, 1690.9, 11542.3, 139.163, 1325.2, 32.8066, 11575.1, 
1,4,50,30,-30,30,-48389.1, 4409.68, 16706.3, -47912.1, 2105.14, -55862.6, -39156.3, 
10,1,50,30,-512,512,6168.99, 298.901, 1232.34, 6230.76, 2321.14, 5457.08, 6689.42, 
8,11,50,30,-500,500,-5345.63, 845.42, 4117.93, -5044.44, 5284.96, -8401.07, -4283.13, 
8,2,50,30,-100,100,0.00228657, 0.0024116, 0.0140947, 0.00152302, 1249.12, 0.000571491, 0.0146662, 
6,4,50,30,-30,30,-37136.4, 6739.33, 34051.1, -36004.3, 2304.17, -56677.3, -22626.2, 
10,10,50,30,-500,500,-8821.48, 653.647, 3118.51, -8629.97, 4492.26, -10926, -7807.52, 
3,14,50,30,-30,30,-5.2862, 0.448179, 1.89244, -5.24081, 2656.23, -6.12266, -4.23022, 
6,13,50,30,0,3.14159,-13.2769, 0.708338, 3.17586, -13.189, 4439.49, -14.9295, -11.7536, 
8,12,50,30,-100,100,8.33433, 2.37671, 6.86012, 7.55878, 3130.24, 5.40658, 12.2667, 
8,17,50,30,-100,100,7.67364, 0.0570438, 0.277676, 7.65783, 1368.7, 7.61177, 7.88945, 
0,8,50,30,-32,32,-68.6153, 2.79793, 12.6519, -68.2538, 3126.87, -74.0868, -61.4349, 
1,3,50,30,-100,100,8366.08, 7368.59, 35246.9, 6825.1, 1037.97, 896.082, 36143, 
1,9,50,30,-32,32,20.4104, 7.09965, 43.2457, 18.697, 4834.95, 8.76141, 52.0071, 
8,16,50,30,-10,10,0.208431, 0.292312, 1.36297, 0.0895934, 4216.74, 3.32352e-05, 1.36301, 
2,10,50,30,-500,500,-12848.9, 447.916, 1873.22, -12845.4, 3929.93, -13772.6, -11899.4, 
3,16,50,30,-10,10,0.244631, 0.103382, 0.422918, 0.231313, 4214.8, 0.0824317, 0.50535, 
3,18,50,30,-100,100,54.7672, 11.1715, 54.1766, 54.614, 1681.22, 33.8318, 88.0085, 
3,17,50,30,-100,100,16.2382, 2.12349, 10.4854, 15.9085, 1127.79, 12.9088, 23.3942, 
10,4,50,30,-30,30,-40013.1, 4080.26, 17758.7, -39385.6, 2507.65, -50957.3, -33198.6, 
0,5,50,30,-500,500,1.60262, 0.159732, 0.732102, 1.58122, 3276.47, 1.27008, 2.00218, 
5,15,50,30,-100,100,105577, 55484.6, 230173, 95674.2, 1231.43, 33958.2, 264131, 
9,10,50,30,-500,500,-13206.8, 3440.28, 13625.8, -12669.2, 4371.7, -20928.8, -7302.99, 
7,13,50,30,0,3.14159,-12.3877, 0.69492, 3.27752, -12.3082, 4403, -14.6728, -11.3953, 
7,18,50,30,-100,100,24.6831, 3.34899, 14.6476, 24.9126, 1877.28, 17.8133, 32.4608, 
1,11,50,30,-500,500,-8429.38, 668.964, 3331.06, -8353.66, 4721.35, -10489.4, -7158.37, 
9,5,50,30,-500,500,0.0232987, 0.0140355, 0.0553339, 0.0201897, 3025.79, 0.00392545, 0.0592593, 
6,16,50,30,-10,10,1.62869, 1.40785, 8.09062, 1.31501, 4171.73, 0.000142009, 8.09076, 
7,8,50,30,-32,32,-33.812, 6.73445, 32.834, -32.6411, 3182.07, -53.0443, -20.2103, 
