algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
4,9,50,30,-32,32,43.8823, 32.7701, 161.816, 32.8132, 8017.14, 1.29128, 163.107, 
10,15,50,30,-100,100,4052.3, 2056.15, 9174.9, 3637.52, 3238.28, 1458.13, 10633, 
3,10,50,30,-500,500,-9381.23, 629.113, 2899.76, -9357.84, 7218.43, -10703.8, -7804.05, 
3,1,50,30,-512,512,6330.03, 332.045, 1485.62, 6313.66, 4097.49, 5471.29, 6956.91, 
7,1,50,30,-512,512,6920, 366.554, 1712.75, 6915.52, 4234.01, 5797.63, 7510.38, 
10,11,50,30,-500,500,-4963.19, 270.225, 1177.88, -4955.19, 9377.62, -5627.19, -4449.31, 
10,17,50,30,-100,100,24.6456, 3.59059, 18.4902, 23.953, 3306.54, 17.3561, 35.8464, 
5,6,50,30,-30,30,-35.4716, 0.407536, 1.72582, -35.464, 4991.84, -36.3974, -34.6716, 
3,2,50,30,-100,100,2.41253, 0.765997, 4.17621, 2.21482, 2208.85, 1.24459, 5.4208, 
2,17,50,30,-100,100,117.488, 20.5869, 108.359, 115.451, 2071.6, 73.6647, 182.024, 
9,7,50,30,-30,30,55.6831, 3.40488, 15.8946, 55.9778, 8284.05, 45.964, 61.8586, 
4,10,50,30,-500,500,-13504, 1568.77, 7393.21, -13511, 7480.91, -18225.2, -10832, 
10,7,50,30,-30,30,50.553, 2.31763, 9.94641, 50.4982, 8297.53, 45.6009, 55.5473, 
6,2,50,30,-100,100,0.00347117, 0.00322808, 0.0220818, 0.00274788, 2370.74, 0.00116376, 0.0232455, 
10,12,50,30,-100,100,11.1239, 0.4856, 2.23488, 11.1853, 6535.29, 9.6887, 11.9236, 
0,17,50,30,-100,100,127.143, 22.8669, 84.9943, 128.485, 2869.21, 87.3037, 172.298, 
4,15,50,30,-100,100,349.72, 1016.33, 6204.35, 58.3001, 2734.67, 2.09336, 6206.44, 
9,6,50,30,-30,30,-31.5287, 1.05508, 4.50281, -31.4769, 5310.36, -34.1557, -29.6529, 
8,3,50,30,-100,100,287.166, 410.47, 2365.8, 144.054, 2833.88, 26.291, 2392.09, 
1,4,50,30,-30,30,-48402.5, 3938.71, 16773.1, -49060, 3429.84, -57716, -40942.9, 
10,1,50,30,-512,512,6188.05, 289.15, 1306.3, 6219.52, 4720.29, 5389.37, 6695.67, 
8,11,50,30,-500,500,-5478.46, 792.872, 3912.35, -5264.97, 9041.49, -8281.19, -4368.84, 
8,2,50,30,-100,100,0.00163512, 0.000914223, 0.00369871, 0.00145798, 2524.1, 0.000581776, 0.00428049, 
