algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
4,7,50,30,-30,30,33.6358, 0.769328, 3.84416, 33.6493, 55881.6, 31.2322, 35.0764, 
12,5,50,30,-500,500,0.164299, 0.173508, 0.614007, 0.112416, 36150.8, 4.21488e-05, 0.614049, 
10,6,50,30,-30,30,-35.7247, 0.398324, 1.79962, -35.6738, 32239.7, -36.723, -34.9234, 
1,17,50,30,-100,100,7.5, 2.79021e-07, 1.43051e-06, 7.5, 13384.4, 7.5, 7.5, 
2,6,50,30,-30,30,-40.1932, 0.245898, 1.27082, -40.1365, 27109.6, -41.0143, -39.7435, 
10,9,50,30,-32,32,8.63991e-09, 1.17786e-09, 4.66529e-09, 8.5332e-09, 52310.3, 6.45757e-09, 1.11229e-08, 
7,12,50,30,-100,100,3.15284, 0.456655, 2.15162, 3.16076, 35590.7, 2.21437, 4.366, 
5,14,50,30,-30,30,-28.9908, 0.00716306, 0.0390472, -28.9923, 30769.2, -28.9997, -28.9606, 
4,11,50,30,-500,500,-12390.6, 889.33, 3560.5, -12467.1, 55544.3, -13963.5, -10403, 
5,3,50,30,-100,100,42.2425, 29.6912, 105.595, 26.2285, 14069.1, 7.93828, 113.534, 
11,13,50,30,0,3.14159,-21.5071, 1.53501, 6.38485, -21.6475, 35007.7, -24.5901, -18.2052, 
2,3,50,30,-100,100,27.1163, 14.1287, 81.876, 24.6822, 12963.2, 0.253917, 82.13, 
4,9,50,30,-32,32,31.2795, 30.1087, 128.971, 19.8292, 50212.8, 1.19904e-14, 128.971, 
10,15,50,30,-100,100,1.55291e-21, 1.06701e-21, 5.53657e-21, 1.30907e-21, 17731.7, 5.07282e-22, 6.04386e-21, 
3,10,50,30,-500,500,-13548.6, 677.148, 2655.64, -13613.5, 47699, -14794.5, -12138.9, 
3,1,50,30,-512,512,3542.44, 305.624, 1428.86, 3618.26, 23376.4, 2698.73, 4127.59, 
7,1,50,30,-512,512,5261.55, 396.785, 1730.24, 5335.01, 25214.3, 4231.2, 5961.44, 
10,11,50,30,-500,500,-6322.75, 375.721, 1609.63, -6358.95, 64566.4, -7282.7, -5673.07, 
10,17,50,30,-100,100,7.5, 0, 0, 7.5, 17527.8, 7.5, 7.5, 
5,6,50,30,-30,30,-40.1722, 0.255827, 1.22539, -40.1153, 28010, -40.9522, -39.7268, 
3,2,50,30,-100,100,4.74236e-19, 1.55876e-19, 7.03339e-19, 4.36819e-19, 11908.1, 2.5641e-19, 9.59748e-19, 
2,17,50,30,-100,100,7.5, 1.74811e-07, 4.76837e-07, 7.5, 13573.5, 7.5, 7.5, 
9,7,50,30,-30,30,49.2181, 2.4465, 14.3111, 48.9069, 58456.7, 44.5535, 58.8646, 
12,16,50,30,-10,10,2.04226, 0.182653, 1.19855, 2.02783, 45821, 1.77989, 2.97844, 
4,10,50,30,-500,500,-20752.8, 1215.09, 5237.11, -20762.1, 43939.8, -22999.4, -17762.3, 
10,7,50,30,-30,30,36.8158, 0.816103, 4.08316, 36.7867, 58792.8, 34.7634, 38.8466, 
6,2,50,30,-100,100,1.41416e-36, 2.32298e-36, 1.51124e-35, 7.77894e-37, 14231.1, 1.10383e-37, 1.52228e-35, 
10,12,50,30,-100,100,4.09951, 0.675634, 2.45166, 4.20725, 39404.2, 2.77974, 5.23139, 
11,7,50,30,-30,30,29.9037, 1.08865, 6.0232, 29.6725, 35531, 29.012, 35.0352, 
0,17,50,30,-100,100,8.16884, 0.135997, 0.53477, 8.14921, 24166.9, 7.94606, 8.48083, 
4,15,50,30,-100,100,1.1103e-12, 7.07908e-12, 5.05521e-11, 5.43206e-20, 14488.1, 5.75582e-33, 5.05521e-11, 
9,6,50,30,-30,30,-33.936, 0.78684, 3.60722, -33.869, 31695, -35.7322, -32.125, 
8,3,50,30,-100,100,29.7924, 15.341, 63.4969, 25.5002, 15900.6, 19.7392, 83.2361, 
1,4,50,30,-30,30,7.14384, 3.31601, 14.9244, 6.96475, 21918.6, 0.994965, 15.9194, 
10,1,50,30,-512,512,4551.43, 324.357, 1426.59, 4607.15, 27823.4, 3705, 5131.59, 
8,11,50,30,-500,500,-8208.21, 1846.68, 7189.64, -7811.03, 62671.9, -12849.3, -5659.63, 
8,2,50,30,-100,100,3.12621e-36, 9.84283e-37, 4.40861e-36, 2.96577e-36, 14820.7, 1.42945e-36, 5.83806e-36, 
6,4,50,30,-30,30,27.8553, 9.02373, 39.7982, 26.8639, 25710.1, 13.9295, 53.7277, 
11,1,50,30,-512,512,3271.22, 239.15, 1105.27, 3327.85, 20219, 2528.26, 3633.53, 
10,10,50,30,-500,500,-14551.9, 1436.6, 6678.22, -14407, 53400.7, -18627.4, -11949.2, 
3,14,50,30,-30,30,-13.7535, 0.580384, 2.96379, -13.8118, 31799.3, -15.174, -12.2102, 
6,13,50,30,0,3.14159,-18.7504, 1.90153, 10.7882, -18.3739, 53912.3, -26.9615, -16.1733, 
8,12,50,30,-100,100,7.03898, 1.56153, 7.06077, 6.86811, 37140.3, 4.42776, 11.4885, 
8,17,50,30,-100,100,7.5, 2.37654e-07, 4.76837e-07, 7.5, 16562.2, 7.5, 7.5, 
12,7,50,30,-30,30,42.0615, 4.5493, 20.4961, 40.9175, 46592.5, 34.8309, 55.3271, 
0,8,50,30,-32,32,-86.2274, 0.0336489, 0.116119, -86.2324, 40844.1, -86.2882, -86.1721, 
1,3,50,30,-100,100,27.9687, 27.6094, 175.059, 19.9834, 12714.7, 6.134, 181.193, 
12,6,50,30,-30,30,-34.0124, 0.782854, 3.23983, -33.9593, 34082.6, -35.791, -32.5512, 
1,9,50,30,-32,32,0.154796, 0.801025, 5.15986, 2.66311e-10, 45983.3, 1.19603e-10, 5.15986, 
8,16,50,30,-10,10,0.0414503, 0.10281, 0.543852, 1.49976e-32, 47283.2, 1.49976e-32, 0.543852, 
2,10,50,30,-500,500,-19745.6, 628.453, 2895.66, -19704.7, 46912.7, -21273.1, -18377.5, 
3,16,50,30,-10,10,0.00179056, 0.012534, 0.0895282, 1.49976e-32, 45126.4, 1.49976e-32, 0.0895282, 
11,11,50,30,-500,500,-9866.51, 817.497, 3492.43, -9789.08, 33922.9, -11597.3, -8104.92, 
3,18,50,30,-100,100,7.10609, 1.86373, 7.93023, 6.78784, 20792.7, 3.97932, 11.9095, 
3,17,50,30,-100,100,7.5, 2.35347e-07, 4.76837e-07, 7.5, 13732.8, 7.5, 7.5, 
10,4,50,30,-30,30,47.5805, 6.28093, 26.1791, 48.0554, 29219.6, 33.423, 59.6021, 
0,5,50,30,-500,500,0.148419, 0.0494974, 0.271962, 0.134249, 42468, 0.0751349, 0.347097, 
12,3,50,30,-100,100,665.449, 1900.78, 13066.3, 125.559, 26018.6, 28.4315, 13094.8, 
11,2,50,30,-100,100,3.00438e-44, 3.6158e-44, 2.00386e-43, 1.96182e-44, 18522.8, 1.4013e-45, 2.01787e-43, 
5,15,50,30,-100,100,5.39368e-13, 3.66968e-12, 2.62258e-11, 9.04127e-15, 14973.2, 8.45941e-16, 2.62267e-11, 
9,10,50,30,-500,500,-18519.8, 1170.74, 4641.6, -18593.7, 44617.5, -20805, -16163.4, 
7,13,50,30,0,3.14159,-15.5503, 0.410596, 2.27573, -15.5371, 53545, -16.7451, -14.4694, 
7,18,50,30,-100,100,0.0175131, 0.00106984, 0.00447843, 0.0175859, 18636.3, 0.014981, 0.0194594, 
1,11,50,30,-500,500,-13371.7, 639.893, 2877.39, -13574.2, 53082.8, -14111.4, -11234, 
9,5,50,30,-500,500,0.00930998, 0.0104545, 0.0540544, 0.00985723, 33329.3, 2.22045e-16, 0.0540544, 
6,16,50,30,-10,10,0.744153, 0.852741, 3.18025, 0.454324, 48093.8, 1.49976e-32, 3.18025, 
7,8,50,30,-32,32,-86.3327, 0.000158889, 0.000816345, -86.3328, 34094.2, -86.3328, -86.332, 
9,13,50,30,0,3.14159,-13.8459, 0.94216, 4.5723, -13.9924, 55514.1, -15.8303, -11.258, 
6,8,50,30,-32,32,-73.8163, 5.56764, 35.8556, -73.7248, 33833.2, -82.2415, -46.3859, 
11,10,50,30,-500,500,-16045.6, 1266.16, 6038.42, -16259.2, 29364.1, -18560.3, -12521.9, 
11,17,50,30,-100,100,7.50005, 0.000164004, 0.000857353, 7.5, 17268.9, 7.5, 7.50086, 
0,6,50,30,-30,30,-43.0974, 0.166466, 0.730049, -43.1164, 34769.5, -43.3257, -42.5957, 
5,10,50,30,-500,500,-20505.9, 484.229, 2223.65, -20537.6, 47585.6, -21822.7, -19599.1, 
3,15,50,30,-100,100,1.2665e-18, 8.86547e-18, 6.33248e-17, 1.83596e-34, 13976.1, 1.00855e-35, 6.33248e-17, 
0,1,50,30,-512,512,291.715, 252.889, 1342.79, 233.445, 30556.1, 0.0649109, 1342.86, 
5,7,50,30,-30,30,32.7557, 0.520545, 2.21147, 32.8147, 56013.5, 31.5472, 33.7586, 
6,11,50,30,-500,500,-12138, 818.864, 5039.51, -12310.2, 51507.7, -13368.1, -8328.62, 
9,16,50,30,-10,10,1.33203, 1.5636, 6.54447, 0.588616, 48122.7, 1.49976e-32, 6.54447, 
6,1,50,30,-512,512,1757.67, 359.702, 1355.99, 1728.67, 22986.3, 1147.53, 2503.53, 
1,14,50,30,-30,30,-22.6201, 1.75451, 7.09466, -22.3549, 30252.6, -26.3654, -19.2707, 
10,16,50,30,-10,10,1.49976e-32, 0, 0, 1.49976e-32, 49301.7, 1.49976e-32, 1.49976e-32, 
3,12,50,30,-100,100,7.95935, 0.488777, 2.58508, 8.11712, 35967.7, 6.04914, 8.63422, 
2,11,50,30,-500,500,-10222.1, 271.1, 1012.72, -10219.4, 58152.9, -10770.6, -9757.92, 
